drive-wheels,wheel-base,length,width,engine-size,bore,engine-power,city-mpg,highway-mpg,price
fwd,99.8,176.6,66.2,8.85,3.19,102000.0,24.0,30.0,13950.0
4wd,99.4,162.4,66.4,15.18,3.19,115000.0,18.0,22.0,17450.0
fwd,105.8,192.7,71.4,15.18,3.94,70000.0,28.0,30.0,17710.0
fwd,86.6,158.7,67.7,13.74,3.13,140000.0,32.0,20.0,23875.0
rwd,101.2,176.8,64.8,8.67,3.5,101000.0,23.0,29.0,16430.0
rwd,110.0,190.9,71.4,8.67,3.78,101000.0,47.0,53.0,16925.0
rwd,101.2,176.8,64.8,26.58,3.31,121000.0,21.0,28.0,20970.0
rwd,101.2,176.8,64.8,26.58,3.03,134000.0,28.0,37.0,21105.0
fwd,88.4,141.1,60.3,3.39,3.03,48000.0,47.0,53.0,5151.0
fwd,104.3,155.9,68.3,6.05,3.31,70000.0,34.0,34.0,6295.0
fwd,94.5,158.8,63.6,6.05,3.03,70000.0,38.0,43.0,6575.0
fwd,113.0,199.6,71.4,6.05,3.78,176000.0,49.0,54.0,5572.0
fwd,93.7,174.6,63.8,6.05,2.97,68000.0,31.0,38.0,6377.0
fwd,93.7,157.3,63.8,7.1,3.03,102000.0,24.0,30.0,7957.0
fwd,110.0,192.7,71.4,6.05,3.78,162000.0,47.0,53.0,6229.0
fwd,93.7,157.3,63.8,6.05,2.97,68000.0,31.0,38.0,6692.0
fwd,93.7,157.3,63.8,6.05,2.97,68000.0,31.0,38.0,7609.0
fwd,103.3,174.6,64.6,11.47,3.34,88000.0,24.0,30.0,8921.0
fwd,95.9,173.2,66.3,22.65,3.6,145000.0,19.0,24.0,12964.0
fwd,86.6,144.6,63.9,6.3,2.91,58000.0,49.0,54.0,6479.0
fwd,98.4,202.6,63.9,6.3,2.91,76000.0,31.0,38.0,6855.0
fwd,93.7,170.2,64.0,4.85,2.91,60000.0,38.0,42.0,5399.0
fwd,93.7,150.0,64.0,6.3,2.91,76000.0,30.0,34.0,6529.0
fwd,93.7,150.0,64.0,6.3,2.91,76000.0,30.0,34.0,7129.0
fwd,96.5,163.4,68.8,6.3,2.54,121000.0,37.0,39.0,7295.0
fwd,96.5,157.1,67.2,6.3,2.92,90000.0,30.0,34.0,7295.0
fwd,96.5,167.5,65.2,9.03,3.15,86000.0,27.0,33.0,7895.0
fwd,96.5,175.4,65.2,9.03,3.15,86000.0,27.0,33.0,9095.0
fwd,102.4,175.4,68.4,9.03,3.46,140000.0,17.0,42.0,8845.0
fwd,96.5,175.4,62.5,9.03,3.15,86000.0,27.0,33.0,10295.0
fwd,97.2,169.1,65.5,9.03,3.24,94000.0,25.0,30.0,12945.0
fwd,96.5,169.1,66.0,9.03,3.46,76000.0,25.0,31.0,10345.0
rwd,113.0,199.6,69.6,174.16,3.63,176000.0,15.0,19.0,36250.0
fwd,93.1,159.1,64.2,6.17,3.7,68000.0,30.0,31.0,5195.0
fwd,97.0,157.3,63.9,6.17,2.99,92000.0,18.0,23.0,6095.0
fwd,93.1,159.1,64.2,6.17,3.03,68000.0,31.0,38.0,6795.0
fwd,93.1,166.8,64.2,6.17,3.03,68000.0,31.0,38.0,6695.0
fwd,95.1,141.1,65.5,6.17,3.08,68000.0,31.0,38.0,7395.0
fwd,98.8,177.8,62.5,11.47,3.39,84000.0,26.0,32.0,8845.0
fwd,95.7,158.8,70.3,11.47,3.46,73000.0,29.0,38.0,8495.0
fwd,98.8,177.8,66.5,11.47,3.39,84000.0,26.0,32.0,10595.0
fwd,100.4,157.9,64.0,11.47,3.01,101000.0,15.0,34.0,10245.0
fwd,98.8,177.8,66.5,11.47,3.39,84000.0,26.0,32.0,11245.0
rwd,104.9,175.0,66.1,16.44,3.76,120000.0,30.0,23.0,18280.0
rwd,110.0,190.9,70.3,38.86,3.58,123000.0,22.0,38.0,29552.0
rwd,99.2,183.5,66.2,38.86,3.43,62000.0,29.0,24.0,31248.0
rwd,106.7,187.5,70.3,38.86,3.58,123000.0,22.0,25.0,38176.0
rwd,115.6,202.6,71.7,38.86,3.58,123000.0,22.0,25.0,41600.0
rwd,96.6,180.3,70.5,107.77,3.46,155000.0,16.0,18.0,42056.0
fwd,93.7,157.3,64.4,6.3,2.97,68000.0,37.0,41.0,5389.0
fwd,93.7,157.3,64.4,6.3,2.97,68000.0,31.0,38.0,6189.0
fwd,93.7,157.3,64.4,6.3,2.97,68000.0,31.0,38.0,6669.0
fwd,93.0,157.3,63.8,7.1,3.03,102000.0,24.0,30.0,7689.0
fwd,98.8,176.2,66.0,9.03,3.39,116000.0,27.0,24.0,9959.0
fwd,96.3,173.0,63.9,11.47,3.35,69000.0,25.0,25.0,8499.0
fwd,99.1,167.5,64.6,11.47,3.13,85000.0,22.0,27.0,6989.0
fwd,96.3,172.4,65.4,11.47,3.35,88000.0,25.0,32.0,8189.0
fwd,96.3,172.4,64.2,9.03,3.17,116000.0,23.0,30.0,9279.0
fwd,96.3,172.4,65.4,9.03,3.17,116000.0,23.0,30.0,9279.0
fwd,95.1,162.4,64.0,6.96,3.03,70000.0,20.0,24.0,5499.0
fwd,94.5,165.3,63.8,7.85,2.99,55000.0,45.0,50.0,7099.0
fwd,94.5,165.3,63.8,6.96,3.15,69000.0,31.0,37.0,6649.0
fwd,99.2,173.2,63.9,6.96,3.08,48000.0,24.0,47.0,6849.0
fwd,94.5,170.2,63.8,6.96,3.15,69000.0,31.0,37.0,7349.0
fwd,94.5,165.3,63.8,6.96,3.15,69000.0,31.0,37.0,7299.0
fwd,94.5,165.6,63.8,6.96,3.15,69000.0,31.0,37.0,7799.0
fwd,94.5,165.3,63.8,6.96,3.15,69000.0,31.0,37.0,7499.0
fwd,94.5,157.3,63.8,6.96,3.15,69000.0,31.0,37.0,7999.0
fwd,95.1,162.4,63.8,6.96,3.15,69000.0,31.0,37.0,8249.0
fwd,95.1,173.0,65.2,11.02,2.54,97000.0,19.0,23.0,8949.0
fwd,97.2,173.4,65.2,11.02,3.33,97000.0,27.0,34.0,9549.0
fwd,100.4,181.7,66.5,37.34,3.43,152000.0,17.0,22.0,13499.0
fwd,95.1,173.6,66.5,37.34,3.19,70000.0,17.0,31.0,14399.0
fwd,100.4,184.6,66.5,37.34,3.43,152000.0,19.0,25.0,13499.0
rwd,96.9,175.4,67.9,37.34,3.43,160000.0,19.0,25.0,17199.0
rwd,91.3,170.7,67.9,37.34,3.43,200000.0,17.0,23.0,19699.0
rwd,99.2,178.5,64.2,37.34,2.91,92000.0,15.0,25.0,18399.0
rwd,86.6,141.1,60.3,11.02,2.54,48000.0,15.0,18.0,11900.0
rwd,107.9,186.7,68.4,20.91,3.7,95000.0,28.0,41.0,13200.0
rwd,107.9,186.7,68.4,11.02,3.46,95000.0,19.0,24.0,15580.0
rwd,102.9,175.4,63.8,20.91,3.61,62000.0,18.0,22.0,16900.0
rwd,107.9,186.7,68.4,11.02,3.46,97000.0,19.0,24.0,16630.0
rwd,107.9,186.7,68.4,20.91,3.7,95000.0,28.0,33.0,17950.0
rwd,108.0,186.7,60.3,14.59,3.61,142000.0,18.0,22.0,18150.0
fwd,93.7,157.3,63.8,6.05,2.97,68000.0,37.0,41.0,5572.0
fwd,93.7,157.3,63.8,7.1,3.03,112000.0,24.0,30.0,7957.0
fwd,99.8,141.1,66.4,6.05,3.03,68000.0,20.0,18.0,6229.0
fwd,96.6,169.1,65.2,6.05,3.17,94000.0,23.0,28.0,6692.0
fwd,93.7,167.3,60.3,7.1,2.97,68000.0,21.0,31.0,7609.0
fwd,102.4,165.3,67.2,11.47,3.35,88000.0,24.0,30.0,8921.0
rwd,94.5,168.9,68.3,20.49,3.94,143000.0,19.0,27.0,22018.0
fwd,99.1,186.6,66.5,11.25,3.54,110000.0,21.0,28.0,11850.0
fwd,99.1,186.6,66.5,11.25,3.54,110000.0,21.0,28.0,12170.0
fwd,99.1,186.6,66.5,11.25,2.54,110000.0,21.0,28.0,15040.0
fwd,97.3,158.8,65.6,11.25,3.05,176000.0,45.0,28.0,15510.0
fwd,99.1,186.6,66.5,11.25,3.54,160000.0,19.0,26.0,18150.0
fwd,95.7,162.4,71.7,11.25,3.05,69000.0,25.0,36.0,18620.0
fwd,86.6,156.9,63.4,6.96,3.62,111000.0,19.0,36.0,5118.0
fwd,94.5,157.9,64.0,8.67,3.62,114000.0,49.0,25.0,7053.0
4wd,93.3,157.3,63.8,8.67,3.62,73000.0,26.0,31.0,7603.0
fwd,102.4,187.5,65.4,8.67,3.62,82000.0,32.0,37.0,7126.0
fwd,97.2,172.0,65.4,8.67,3.62,82000.0,28.0,33.0,7775.0
fwd,97.2,172.0,65.4,8.67,3.62,94000.0,26.0,32.0,9960.0
4wd,97.0,172.0,65.4,8.67,3.62,82000.0,24.0,25.0,9233.0
4wd,97.0,165.3,65.4,8.67,3.62,116000.0,24.0,29.0,11259.0
fwd,97.0,173.5,65.4,8.67,3.62,76000.0,28.0,22.0,7463.0
fwd,93.3,157.9,63.8,8.67,3.34,106000.0,18.0,36.0,10198.0
4wd,99.8,199.6,65.4,8.67,3.62,52000.0,23.0,29.0,8013.0
4wd,96.9,173.6,65.4,8.67,3.62,111000.0,23.0,23.0,11694.0
fwd,93.1,166.3,66.1,6.3,3.33,102000.0,35.0,39.0,5348.0
fwd,95.7,158.7,63.6,6.3,3.05,62000.0,31.0,38.0,6338.0
fwd,95.7,158.7,63.6,6.3,2.97,95000.0,31.0,38.0,6488.0
fwd,95.7,169.7,63.6,6.3,3.05,62000.0,31.0,54.0,6918.0
4wd,95.7,169.1,63.6,6.3,3.05,62000.0,17.0,32.0,7898.0
4wd,95.7,169.7,63.6,6.3,3.05,62000.0,27.0,32.0,8778.0
fwd,95.7,166.3,64.4,7.1,3.19,70000.0,30.0,37.0,6938.0
fwd,97.0,166.3,65.5,7.1,3.24,161000.0,24.0,30.0,7198.0
fwd,95.7,166.3,64.4,9.03,3.6,60000.0,34.0,22.0,7898.0
fwd,95.7,166.3,64.4,9.03,3.27,56000.0,38.0,47.0,7788.0
fwd,113.0,192.7,71.4,7.1,3.78,176000.0,49.0,53.0,7738.0
fwd,104.3,176.8,68.3,7.1,3.58,134000.0,34.0,41.0,8358.0
fwd,95.7,166.3,64.4,7.1,3.19,70000.0,28.0,34.0,9258.0
rwd,94.5,168.7,64.0,7.1,3.19,70000.0,29.0,34.0,8058.0
rwd,94.5,168.7,64.0,7.1,3.19,70000.0,29.0,34.0,8238.0
rwd,94.5,168.7,64.0,7.1,3.24,112000.0,26.0,29.0,9298.0
rwd,97.0,159.1,64.4,7.1,3.27,106000.0,20.0,29.0,9538.0
rwd,98.4,176.2,65.6,18.54,3.62,116000.0,24.0,30.0,8449.0
rwd,110.0,190.9,70.5,18.54,3.76,162000.0,47.0,53.0,9639.0
rwd,96.6,167.3,64.8,18.54,3.15,86000.0,23.0,28.0,9989.0
rwd,98.4,176.2,65.6,18.54,3.34,143000.0,15.0,43.0,11199.0
rwd,98.4,176.2,65.6,18.54,3.01,116000.0,24.0,30.0,11549.0
rwd,98.4,176.2,65.6,18.54,3.58,116000.0,24.0,18.0,17669.0
fwd,99.1,168.9,66.2,11.47,2.99,48000.0,28.0,32.0,8948.0
fwd,102.4,175.6,66.5,9.03,3.27,73000.0,30.0,33.0,10698.0
fwd,93.1,163.4,66.5,11.47,3.31,92000.0,31.0,32.0,9988.0
fwd,102.4,175.6,66.5,11.47,3.31,92000.0,27.0,32.0,10898.0
fwd,102.4,175.6,66.5,11.47,3.31,92000.0,27.0,32.0,11248.0
rwd,88.4,173.2,66.4,30.57,3.94,156000.0,31.0,24.0,16558.0
rwd,102.9,183.5,67.7,30.57,3.27,161000.0,19.0,24.0,15998.0
rwd,104.5,187.8,66.5,30.57,3.27,156000.0,20.0,24.0,15690.0
fwd,97.3,171.7,65.5,6.96,3.01,200000.0,37.0,29.0,7775.0
fwd,97.3,171.7,65.5,8.85,3.19,85000.0,27.0,34.0,7975.0
fwd,97.3,171.7,65.5,6.96,3.01,52000.0,37.0,46.0,7995.0
fwd,97.3,171.7,65.5,8.85,3.19,85000.0,27.0,34.0,8195.0
fwd,115.6,150.0,63.6,8.85,3.19,60000.0,27.0,34.0,8495.0
fwd,93.7,172.4,67.2,6.96,3.19,116000.0,35.0,38.0,9495.0
fwd,97.3,171.7,65.5,8.85,3.19,100000.0,26.0,32.0,9995.0
fwd,104.5,165.7,63.6,8.85,2.97,90000.0,27.0,33.0,9980.0
rwd,113.0,173.5,66.2,16.78,3.24,68000.0,20.0,19.0,12940.0
rwd,104.3,188.8,67.2,16.78,3.78,114000.0,23.0,28.0,13415.0
rwd,94.5,171.7,66.5,16.78,3.34,110000.0,24.0,54.0,15985.0
rwd,104.3,188.8,67.2,16.78,3.78,114000.0,24.0,28.0,16515.0
rwd,104.3,188.8,67.2,13.46,3.62,116000.0,49.0,24.0,18420.0
rwd,104.3,188.8,67.2,13.46,3.62,162000.0,17.0,22.0,18950.0
rwd,109.1,188.8,68.9,16.78,3.78,114000.0,23.0,28.0,16845.0
rwd,109.1,188.8,68.8,16.78,3.78,160000.0,19.0,25.0,19045.0
rwd,93.3,180.3,65.4,31.82,3.5,134000.0,24.0,29.0,21485.0
rwd,109.1,188.8,68.9,18.17,3.01,106000.0,26.0,27.0,22470.0
rwd,108.0,188.8,68.9,16.78,3.78,114000.0,19.0,25.0,22625.0
